file_path,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,label
E:/distressdetection/dataset\Actor_01\03-01-01-01-01-01-01.wav,-726.2172,68.54142,3.2933977,12.2053,5.5102777,13.667408,-2.9838283,3.0980291,-3.3108134,-1.5643841,-7.8616524,-2.1242816,2.849204,0
E:/distressdetection/dataset\Actor_01\03-01-01-01-01-02-01.wav,-719.1283,70.20157,1.168397,13.122541,7.83695,14.41129,-4.1113596,4.468973,-3.5393667,-3.6586075,-7.648504,-1.4770775,3.031821,0
E:/distressdetection/dataset\Actor_01\03-01-01-01-02-01-01.wav,-714.9957,69.68935,3.9245636,11.92419,6.4217234,11.011614,-2.878103,4.5095577,-4.476109,-2.6715493,-7.4992833,-2.9622657,1.8734846,0
E:/distressdetection/dataset\Actor_01\03-01-01-01-02-02-01.wav,-710.9753,67.56488,5.7822413,13.230726,6.1908455,12.628252,-1.6751693,5.6574936,-4.9506335,-3.4775455,-7.416558,-1.9370041,2.2715254,0
E:/distressdetection/dataset\Actor_01\03-01-02-01-01-01-01.wav,-759.92175,75.78352,6.0236053,14.557394,6.4541874,14.631508,-3.004551,4.6209702,-5.200016,-0.70743024,-7.790287,-3.5649483,2.1809702,0
E:/distressdetection/dataset\Actor_01\03-01-02-01-01-02-01.wav,-735.0066,79.09305,8.141051,11.413549,5.174124,15.393285,-2.7520719,2.9645836,-5.388972,-1.6918322,-5.8528347,-4.0432878,3.0046408,0
E:/distressdetection/dataset\Actor_01\03-01-02-01-02-01-01.wav,-733.5249,81.58986,4.8633575,14.423686,5.267689,13.96856,-3.0856166,7.1732454,-4.8214383,-0.9674487,-6.2504735,-3.8666399,3.3255188,0
E:/distressdetection/dataset\Actor_01\03-01-02-01-02-02-01.wav,-728.363,82.324936,7.5005765,12.542465,6.788125,14.805659,-2.9095807,6.937839,-4.84434,-1.8469232,-5.6877103,-3.6666536,2.2403512,0
E:/distressdetection/dataset\Actor_01\03-01-02-02-01-01-01.wav,-771.62524,83.32755,9.759607,14.268048,6.201726,16.020977,-2.8468976,4.47025,-5.536262,0.8787948,-5.3482485,-3.0295565,2.3405733,0
E:/distressdetection/dataset\Actor_01\03-01-02-02-01-02-01.wav,-733.9896,82.99157,3.796794,13.411559,3.1084962,16.039553,-5.652945,5.5606713,-7.8409877,-1.1772103,-5.7287865,-4.109694,3.8823817,0
E:/distressdetection/dataset\Actor_01\03-01-02-02-02-01-01.wav,-735.9587,83.71625,8.72074,16.973064,1.3004172,16.308208,-2.9989035,8.180385,-9.681773,1.4794084,-8.105539,-3.2144182,3.27963,0
E:/distressdetection/dataset\Actor_01\03-01-02-02-02-02-01.wav,-724.8058,83.05965,0.8636632,13.715781,5.3935223,15.342071,-3.8907716,6.682707,-9.109154,-2.3108945,-7.557554,-2.6653075,4.4087005,0
E:/distressdetection/dataset\Actor_01\03-01-03-01-01-01-01.wav,-679.53876,78.69846,0.6677377,10.39002,5.20702,11.52523,-7.0435305,2.0349188,-6.769452,-3.4523165,-8.604058,-2.1430967,2.153603,0
E:/distressdetection/dataset\Actor_01\03-01-03-01-01-02-01.wav,-658.3063,78.063484,-0.78696334,10.139038,8.304726,12.286283,-4.871698,0.52415824,-5.5969224,-3.2145643,-9.875024,-1.7062539,3.7575347,0
E:/distressdetection/dataset\Actor_01\03-01-03-01-02-01-01.wav,-693.60925,77.67328,2.3561034,12.037886,5.2729096,9.537619,-5.2778487,3.814017,-8.264009,-3.2064865,-11.793282,-2.4545708,4.334239,0
E:/distressdetection/dataset\Actor_01\03-01-03-01-02-02-01.wav,-683.93146,74.13294,1.0578566,17.886679,6.339445,11.593822,-5.891603,6.8250275,-6.5876675,-1.8747079,-10.637551,-2.1259463,2.790956,0
E:/distressdetection/dataset\Actor_01\03-01-03-02-01-01-01.wav,-627.4205,67.704384,-6.669489,9.967615,-3.0760913,7.208737,-5.0634565,-2.993555,-10.524828,-4.989577,-8.107446,-8.3624735,0.3314784,0
E:/distressdetection/dataset\Actor_01\03-01-03-02-01-02-01.wav,-591.9702,72.971,-6.905822,4.645147,0.41286427,8.77231,-4.1541224,-3.5272965,-8.41551,-5.53817,-10.657866,-7.126159,4.071781,0
