time,seconds_elapsed,z,y,x,Activity,Shake
1743284675045496000,7.53449609375,-2.719813108444214,-9.35654067993164,-7.661445617675781,In Pocket,False
1743284675055536000,7.5445361328125,-2.5665841102600098,-8.973467826843262,-7.067683219909668,In Pocket,False
1743284675065576400,7.554576416015625,-2.039859771728516,-8.676587104797363,-6.512228488922119,In Pocket,False
1743284675075616500,7.564616455078125,-1.580173134803772,-8.571242332458496,-6.349422931671143,In Pocket,False
1743284675085656800,7.57465673828125,-1.5131354331970217,-8.293514251708984,-5.899312973022461,In Pocket,False
1743284675095697000,7.58469677734375,-1.292868971824646,-7.948749542236328,-5.966350555419922,In Pocket,False
1743284675105767700,7.594767578125,-1.5897499322891235,-8.034940719604492,-6.234501361846924,In Pocket,False
1743284675115807700,7.604807861328125,-1.599326729774475,-7.881711959838867,-6.100425720214844,In Pocket,False
1743284675125848000,7.61484814453125,-1.8770540952682493,-8.159439086914062,-6.177040576934815,In Pocket,False
1743284675135888100,7.62488818359375,-1.9823989868164065,-8.446743965148926,-5.57370138168335,In Pocket,False
1743284675145928400,7.634928466796875,-1.6855180263519287,-8.78193187713623,-4.788403511047363,In Pocket,False
1743284675155968500,7.644968505859375,-1.2258312702178955,-8.743624687194824,-4.156333923339844,In Pocket,False
1743284675166008800,7.6550087890625,-0.7565677165985107,-8.734047889709473,-4.07014274597168,In Pocket,False
1743284675176049000,7.665048828125,-0.6703764796257019,-8.446743965148926,-4.223371982574463,In Pocket,False
1743284675186119700,7.67511962890625,-1.1300631761550903,-8.341399192810059,-4.711789131164551,In Pocket,False
1743284675196159700,7.68515966796875,-1.4269442558288574,-8.130708694458008,-5.13316822052002,In Pocket,False
1743284675206199800,7.69519970703125,-1.580173134803772,-8.092401504516602,-5.793968200683594,In Pocket,False
1743284675216240000,7.705240234375,-1.7046716213226318,-8.14028549194336,-6.607996463775635,In Pocket,False
1743284675226280200,7.7152802734375,-1.5418659448623655,-8.197746276855469,-7.33583402633667,In Pocket,False
1743284675236320500,7.725320556640625,-1.292868971824646,-8.130708694458008,-7.6997528076171875,In Pocket,False
1743284675246360600,7.735360595703125,-1.1300631761550903,-8.245630264282227,-8.015787124633789,In Pocket,False
1743284675256401000,7.74540087890625,-1.015141487121582,-8.121131896972656,-8.178592681884766,In Pocket,False
1743284675266441000,7.75544091796875,-0.7757213711738586,-8.02536392211914,-8.245630264282227,In Pocket,False
1743284675276511700,7.76551171875,-0.7086837291717529,-8.063671112060547,-8.20732307434082,In Pocket,False
1743284675286551800,7.7755517578125,-0.6129156351089478,-7.881711959838867,-7.967903137207031,In Pocket,False
1743284675296592100,7.785592041015625,-0.3064578175544739,-7.785943984985352,-7.7763671875,In Pocket,False
1743284675306632200,7.795632080078125,-0.0574608407914638,-7.728483200073242,-7.632715225219727,In Pocket,False
1743284675316672500,7.805672607421875,0.1053448766469955,-7.709329605102539,-7.412448406219482,In Pocket,False
